Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,"C18,C19",C_0402_1005Metric,2,30p,C1570
2,"C17,C2,C8,C6,C5,C7,C4,C1,C3,C9",C_0402_1005Metric,10,100n,C1525
3,"R6,R7",R_0402_1005Metric,2,1k,C11702
4,"R5,R2",R_0402_1005Metric,2,10k,C25744
5,U3,RP2040-QFN-56,1,RP2040,C2040
6,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9002
7,J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
8,C14,C_0402_1005Metric,1,4.7u,C23733
9,"C10,C16,C15,C13",C_0402_1005Metric,4,1u,C52923
10,"R4,R3",R_0402_1005Metric,2,27,
11,U4,SOT-23-5,1,TLV73333PDBV,C134139
12,R1,R_0402_1005Metric,1,39,C25110
13,U5,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
14,C12,C_0603_1608Metric,1,1u,C15849
15,C11,C_0603_1608Metric,1,0.1u,C14663
16,U1,SOT-23-5,1,TCR2EF19,
