Designator,Mid X,Mid Y,Layer,Rotation
,117.500400mm,-64.363600mm,Top,90
,92.426400mm,-32.283400mm,Top,0
,97.371600mm,-63.144200mm,Top,90
,124.333000mm,-64.490600mm,Top,90
,145.396500mm,-36.398200mm,Top,90
,145.338800mm,-65.532000mm,Top,180
,117.500400mm,-59.363600mm,Top,90
,150.295600mm,-69.570600mm,Top,0
,92.367400mm,-58.369000mm,Top,90
,96.926400mm,-32.283400mm,Top,0
,148.742400mm,-52.603400mm,Top,0
,152.153900mm,-37.719000mm,Top,0
,145.338800mm,-70.532000mm,Top,180
,124.333000mm,-59.490600mm,Top,90
,153.009600mm,-46.583600mm,Top,270
,96.926400mm,-38.783400mm,Top,0
,155.379700mm,-37.693600mm,Top,0
,153.009600mm,-47.853600mm,Top,270
,145.313400mm,-27.334200mm,Top,0
,145.313400mm,-31.398200mm,Top,90
,92.371600mm,-63.144200mm,Top,90
,155.295600mm,-69.570600mm,Top,0
,153.009600mm,-49.123600mm,Top,270
,150.723600mm,-52.603400mm,Top,0
,96.867400mm,-58.369000mm,Top,90
,92.426400mm,-38.783400mm,Top,0
,147.447000mm,-52.603400mm,Top,0
,145.338800mm,-60.532000mm,Top,180
C1,130.600000mm,-40.100000mm,Top,90
C2,133.450000mm,-53.300000mm,Top,270
C3,131.650000mm,-40.700000mm,Top,90
C4,126.500000mm,-43.950000mm,Top,180
C5,137.500000mm,-48.250000mm,Top,0
C6,126.500000mm,-48.550000mm,Top,180
C7,132.420000mm,-53.300000mm,Top,270
C8,137.100000mm,-43.850000mm,Top,0
C9,137.100000mm,-42.800000mm,Top,0
C10,135.900000mm,-41.200000mm,Top,90
C11,118.350000mm,-35.450000mm,Top,90
C12,112.650000mm,-35.700000mm,Top,90
C13,134.850000mm,-40.700000mm,Top,90
C14,110.450000mm,-37.550000mm,Top,180
C15,136.250000mm,-33.800000mm,Top,180
C16,136.250000mm,-38.600000mm,Top,180
C17,122.500000mm,-33.650000mm,Top,90
C18,129.900000mm,-54.600000mm,Top,0
C19,133.100000mm,-57.250000mm,Top,270
J1,134.000000mm,-29.000000mm,Top,270
R1,110.450000mm,-36.450000mm,Top,180
R2,126.500000mm,-47.500000mm,Top,180
R3,132.700000mm,-40.700000mm,Top,270
R4,133.780000mm,-40.700000mm,Top,270
R5,122.450000mm,-39.500000mm,Top,270
R6,121.132600mm,-37.234400mm,Top,90
R7,131.400000mm,-54.150000mm,Top,90
U1,115.500000mm,-35.550000mm,Top,180
U3,131.850000mm,-47.400000mm,Top,0
U4,135.750000mm,-36.200000mm,Top,270
U5,126.000000mm,-37.750000mm,Top,90
Y1,130.750000mm,-57.250000mm,Top,270
